"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Rashee Rice","KC","WR8","5.4","25.6","0.9","96.9","1071.4","9.6","0.6","219.8"
"Javonte Williams","DAL","RB17","256.2","1160.4","10.4","33.0","192.0","1.2","1.6","217.8"
"Chris Olave","NO","WR9","0.3","0.0","0.0","95.8","1195.5","7.9","0.3","214.1"
"Travis Etienne Jr.","NO","RB18","253.2","1070.7","5.4","45.3","356.8","3.0","1.0","214.0"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","87.6","1232.0","7.7","0.3","212.4"
"Cam Skattebo","NYG","RB19","236.7","987.3","7.9","43.3","343.3","2.2","1.6","212.2"
"George Pickens","DAL","WR11","0.3","0.0","0.0","82.5","1200.6","8.4","0.4","210.8"
"Nico Collins","HOU","WR12","1.4","8.3","0.4","82.5","1207.2","7.2","0.8","206.7"
"D'Andre Swift","CHI","RB20","233.4","1054.4","8.0","35.1","303.5","1.0","1.0","205.9"
"Trey McBride","ARI","TE1","0.0","0.0","0.0","108.9","1069.1","6.8","0.2","201.6"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","81.2","1157.5","6.5","1.5","201.2"
"Malik Nabers","NYG","WR14","2.8","8.3","0.1","81.4","1083.1","8.4","0.4","199.9"
"Bucky Irving","TB","RB21","252.7","1004.7","5.8","39.6","333.3","2.2","1.0","199.8"
"Quinshon Judkins","CLE","RB22","289.9","1107.3","8.1","32.0","219.3","0.6","0.9","199.1"
"Brock Bowers","LV","TE2","0.0","0.0","0.0","96.6","1022.9","7.5","0.2","195.4"
"Garrett Wilson","NYJ","WR15","1.1","4.3","0.0","96.4","1094.5","6.4","1.0","194.6"
"Tetairoa McMillan","CAR","WR16","0.0","0.0","0.0","81.2","1146.7","6.6","0.9","193.2"
"DeVonta Smith","PHI","WR17","0.0","0.0","0.0","87.8","1134.9","6.0","0.3","192.9"
"Bhayshul Tuten","JAC","RB23","239.4","979.6","8.2","29.2","222.1","2.1","2.2","192.7"
"Emeka Egbuka","TB","WR18","1.4","7.3","0.0","73.2","1097.8","7.5","0.3","191.6"
"Davante Adams","LAR","WR19","0.0","0.0","0.0","68.5","926.2","10.2","0.2","187.7"
"Tee Higgins","CIN","WR20","0.0","0.0","0.0","70.8","965.3","9.1","0.2","186.3"
"Jameson Williams","DET","WR21","7.3","42.0","0.5","64.4","1065.4","6.6","0.2","185.1"
"Ladd McConkey","LAC","WR22","0.0","0.0","0.0","79.2","1010.1","6.8","0.3","180.7"
"David Montgomery","HOU","RB24","231.5","959.7","7.7","30.8","228.2","0.5","1.5","180.5"
"Jadarian Price","SEA","RB25","215.5","913.2","8.0","26.4","220.1","1.1","2.0","176.8"
"Terry McLaurin","WAS","WR23","0.3","0.3","0.0","69.0","972.1","7.4","0.3","175.3"
"Rome Odunze","CHI","WR24","0.3","1.3","0.0","62.4","963.3","7.8","0.3","173.9"
"TreVeyon Henderson","NE","RB26","185.7","852.2","6.9","35.2","244.2","1.2","0.8","173.8"
"DJ Moore","BUF","WR25","10.3","54.0","0.5","69.4","905.1","7.0","0.8","173.8"
"Jaylen Waddle","DEN","WR26","1.7","12.4","0.0","74.2","991.8","6.0","0.3","173.1"
"Rhamondre Stevenson","NE","RB27","168.6","723.1","6.9","39.5","334.7","1.7","2.1","173.0"
"Jaylen Warren","PIT","RB28","188.0","827.5","4.8","42.4","322.1","1.5","0.9","172.1"
"Tony Pollard","TEN","RB29","236.2","1034.1","5.5","31.9","208.2","0.5","2.1","171.9"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","79.1","927.1","6.7","0.2","171.8"
"Luther Burden III","CHI","WR27","7.7","38.2","0.1","72.7","972.7","5.7","0.3","171.7"
"Mike Evans","SF","WR28","0.0","0.0","0.0","67.2","945.6","6.9","0.2","169.4"
"Christian Watson","GB","WR29","1.7","8.0","0.0","57.9","930.0","7.3","0.3","166.6"
"J.K. Dobbins","DEN","RB30","219.9","1027.8","6.9","19.5","104.5","0.6","0.7","166.4"
"Marvin Harrison Jr.","ARI","WR30","0.0","0.0","0.0","67.3","961.3","6.0","0.3","165.2"
"Courtland Sutton","DEN","WR31","0.0","0.0","0.0","67.4","884.3","7.2","0.2","164.9"
"Rico Dowdle","PIT","RB31","200.0","870.1","5.8","31.7","222.3","1.0","1.0","164.4"
"Alec Pierce","IND","WR32","0.0","0.0","0.0","56.5","977.2","6.4","0.3","164.0"
"DK Metcalf","PIT","WR33","0.7","3.3","0.3","64.3","927.1","6.1","0.2","163.1"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","79.0","878.5","5.5","0.3","159.7"
"Chuba Hubbard","CAR","RB32","178.2","728.9","5.0","36.4","256.4","1.8","0.9","155.4"
"Parker Washington","JAC","WR34","5.0","13.6","0.1","62.6","863.2","5.7","0.4","153.1"
"Harold Fannin Jr.","CLE","TE5","0.0","0.0","0.0","79.9","818.7","5.4","0.8","152.7"
"Brian Thomas Jr.","JAC","WR35","2.7","17.7","0.4","58.0","871.6","5.4","0.2","152.1"
"George Kittle","SF","TE6","0.0","0.0","0.0","69.4","787.6","6.2","0.2","150.4"
"Michael Pittman Jr.","PIT","WR36","0.0","0.0","0.0","80.5","806.1","5.0","0.3","150.1"
"Jonathon Brooks","CAR","RB33","188.3","777.9","5.1","29.6","225.2","1.1","1.5","149.3"
"Kyle Pitts Sr.","ATL","TE7","0.0","0.0","0.0","77.2","845.2","4.4","0.1","149.2"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","70.4","813.9","5.5","0.2","148.9"
"Tucker Kraft","GB","TE9","0.0","0.0","0.0","61.5","785.8","6.5","0.2","147.7"
"Kenny Gainwell","TB","RB34","116.6","512.1","4.2","49.7","351.9","2.0","0.9","146.7"
"Dallas Goedert","PHI","TE10","0.0","0.0","0.0","65.5","689.2","7.6","0.2","146.7"
"Carnell Tate","TEN","WR37","0.7","3.0","0.0","65.2","887.5","4.5","1.4","145.8"
"Travis Kelce","KC","TE11","0.0","0.0","0.0","75.3","786.3","4.9","0.3","144.9"
"Kyle Monangai","CHI","RB35","191.3","818.0","5.2","22.9","195.0","0.4","0.7","144.8"
"Jayden Reed","GB","WR38","12.0","86.9","0.1","63.1","757.7","4.8","0.4","144.8"
"Jakobi Meyers","JAC","WR39","4.3","22.7","0.1","68.3","787.7","5.1","0.8","144.6"
"Michael Wilson","ARI","WR40","0.0","0.7","0.0","67.5","839.8","4.5","0.2","144.2"
"Rachaad White","WAS","RB36","137.0","605.6","5.4","35.8","247.9","1.6","0.8","143.4"
"Quentin Johnston","LAC","WR41","1.7","5.9","0.0","53.6","757.3","6.9","0.7","143.1"
"Chris Godwin Jr.","TB","WR42","0.3","0.3","0.0","67.8","773.9","5.2","0.3","141.8"
"Jordan Addison","MIN","WR43","2.7","37.1","0.4","55.2","758.4","5.4","0.2","141.3"
"Jacory Croskey-Merritt","WAS","RB37","185.1","831.7","7.5","12.4","91.3","0.2","1.8","141.2"
"Aaron Jones Sr.","MIN","RB38","149.9","638.8","3.1","40.7","300.7","1.7","1.0","140.8"
"Xavier Worthy","KC","WR44","15.5","99.4","0.9","55.2","723.3","4.2","0.2","140.1"
"RJ Harvey","DEN","RB39","107.6","406.3","4.0","45.9","341.6","3.2","0.7","139.2"
"Wan'Dale Robinson","TEN","WR45","2.0","9.5","0.1","79.9","805.6","3.0","0.3","139.1"
"Jordan Mason","MIN","RB40","192.8","878.7","6.1","14.5","75.8","0.1","1.1","138.0"
